				Old Max scale 		Neuroticism			New Maximizing scale		
29	178.199.126.31	2015-12-04 05:14:38	2015-12-04 05:25:15	3.15	4.4	2.75	3.4	2.29	3.8	4.17	4.58
30	178.82.234.24	2015-12-04 05:20:43	2015-12-04 05:33:28	3.54	4.8	3.17	3.4	3.00	3.9	2.92	3.92
31	178.82.237.46	2015-12-04 05:24:44	2015-12-04 05:33:16	3.23	3.8	3.08	2.8	3.29	4.2	3.17	4.00
33	178.197.236.124	2015-12-04 05:49:11	2015-12-04 05:57:17	2.46	2.4	2.75	3.2	2.43	4.2	2.67	3.83
34	92.106.92.92	2015-12-04 06:08:05	2015-12-04 06:19:07	2.85	2.6	2.83	3	2.71	3.6	3.42	3.58
35	94.228.157.122	2015-12-04 06:13:39	2015-12-04 06:24:55	2.69	1.8	2.75	3	2.57	4	2.42	4.17
36	178.199.197.141	2015-12-04 06:26:22	2015-12-04 06:33:35	1.92	1	3.17	3.4	3.00	4.2	2.42	2.00
37	195.176.29.132	2015-12-04 06:50:17	2015-12-04 07:02:34	1.69	2.4	2.83	3	2.71	3.8	3.00	2.83
38	194.230.159.175	2015-12-04 07:01:52	2015-12-04 07:12:14	3.38	4	3.67	3.8	3.57	4.6	3.42	4.67
40	194.230.155.105	2015-12-04 08:05:28	2015-12-04 08:16:02	1.23	2	2.75	3.2	2.43	4.2	2.00	1.83
41	84.73.243.224	2015-12-04 08:08:47	2015-12-04 08:26:38	1.23	1.8	2.50	2.6	2.43	4.5	1.58	1.50
42	130.60.140.145	2015-12-04 08:36:16	2015-12-04 08:43:31	3.46	2.4	2.67	2.8	2.57	4.4	1.75	3.00
43	178.198.226.0	2015-12-04 09:24:25	2015-12-04 09:34:34	2.15	3.2	2.92	3.2	2.71	3.9	3.33	3.67
45	178.197.226.48	2015-12-04 10:28:15	2015-12-04 10:38:39	1.92	1.6	2.25	2.8	1.86	4	2.92	3.00
46	151.248.134.254	2015-12-04 14:25:43	2015-12-04 14:34:20	3.15	2.2	2.58	2.4	2.71	4.4	2.67	3.25
49	62.203.159.161	2015-12-05 00:41:07	2015-12-05 00:52:06	3.46	2.6	3.00	3	3.00	3.1	3.33	3.58
50	194.230.159.166	2015-12-05 03:42:50	2015-12-05 03:57:20	2.85	2.8	3.08	3	3.14	4.4	3.25	4.67
51	178.197.227.155	2015-12-05 06:23:44	2015-12-05 06:38:10	2.23	2.6	2.58	2	3.00	4.6	2.08	3.83
52	178.192.7.66	2015-12-05 06:33:21	2015-12-05 06:45:51	2.85	2.6	2.58	3.2	2.14	3.6	3.75	3.92
57	85.7.249.186	2015-12-06 09:58:39	2015-12-06 10:06:53	2.31	2.4	2.92	3.2	2.71	3.7	3.17	3.17
58	178.195.122.35	2015-12-06 11:22:39	2015-12-06 11:32:45	2.69	3	2.50	2.8	2.29	4.5	3.33	3.83
60	46.127.255.45	2015-12-06 12:05:53	2015-12-06 12:15:18	2.62	2.6	2.83	2.8	2.86	3.6	2.83	3.25
61	91.190.9.168	2015-12-06 14:40:27	2015-12-06 14:52:28	2.31	2	2.75	3	2.57	3.6	1.92	3.33
62	84.227.0.168	2015-12-07 21:52:27	2015-12-07 22:03:29	2.23	2.2	2.75	3.4	2.29	4	2.17	3.00
63	178.199.196.144	2015-12-08 09:36:47	2015-12-08 09:48:00	1.69	1.2	2.25	2.8	1.86	4.2	1.67	3.50
64	84.226.30.100	2015-12-08 23:33:45	2015-12-08 23:40:05	1.85	1.8	2.92	3.2	2.71	4.6	2.92	2.75
66	89.206.97.111	2015-12-10 02:02:34	2015-12-10 02:11:30	2.92	3.2	2.92	3	2.86	4.2	3.17	4.33
68	178.192.136.168	2015-12-10 02:12:17	2015-12-10 02:25:59	2.69	4.4	3.00	2.8	3.14	4	3.83	4.25
69	89.206.71.227	2015-12-10 02:23:49	2015-12-10 02:33:01	3.62	4.2	2.92	2	3.57	2.9	3.58	3.08
71	31.164.227.9	2015-12-10 02:31:25	2015-12-10 02:42:11	3.08	4.6	3.17	3	3.29	4	3.67	2.42
73	89.206.110.228	2015-12-10 02:31:51	2015-12-10 02:40:13	1.85	1.4	3.17	3.2	3.14	4.2	2.75	2.75
74	89.206.68.222	2015-12-10 02:33:29	2015-12-10 02:49:15	2.23	2	3.17	3.2	3.14	3.8	3.25	1.92
75	89.206.94.221	2015-12-10 02:36:42	2015-12-10 02:53:46	2.31	2.4	2.50	2.8	2.29	4.1	2.42	3.42
76	192.41.135.63	2015-12-10 03:11:38	2015-12-10 03:29:32	2.15	1	2.33	2.6	2.14	4	2.75	1.92
77	89.206.65.132	2015-12-10 03:17:23	2015-12-10 03:40:09	4.08	2.6	3.25	3.2	3.29	3.3	3.33	2.50
79	31.10.153.156	2015-12-10 03:23:27	2015-12-10 03:32:32	2.85	4.6	2.58	2.8	2.43	3.7	3.58	3.75
82	80.219.200.221	2015-12-10 03:47:16	2015-12-10 03:56:28	3.31	2	2.58	2.8	2.43	4	2.08	3.25
83	89.206.88.215	2015-12-10 03:59:26	2015-12-10 04:15:01	2.54	2.6	2.67	2.6	2.71	4	3.08	4.33
84	195.176.96.228	2015-12-10 04:08:23	2015-12-10 04:52:30	2.69	4	3.83	4.2	3.57	2.9	3.25	3.75
85	77.57.121.222	2015-12-10 04:10:49	2015-12-10 04:21:27	1.85	3.4	2.58	3	2.29	4.1	2.42	3.17
86	89.206.68.250	2015-12-10 04:14:52	2015-12-10 06:50:59	2.54	4.8	3.17	2.6	3.57	2.9	4.75	3.58
87	212.254.22.17	2015-12-10 04:15:41	2015-12-10 04:21:57	2.08	3.6	2.83	3.4	2.43	3.5	2.92	3.50
88	89.206.98.1	2015-12-10 04:20:56	2015-12-10 04:46:52	3.38	3.2	2.25	2.8	1.86	3.2	4.00	4.83
89	178.197.234.191	2015-12-10 04:34:34	2015-12-10 04:53:07	1.92	1.6	2.83	2.6	3.00	4.1	2.00	4.25
91	89.206.85.97	2015-12-10 04:58:45	2015-12-10 05:50:50	3.31	3.2	2.83	3.4	2.43	4.1	3.67	4.17
92	89.206.67.187	2015-12-10 05:00:25	2015-12-10 05:12:38	2.85	2.2	2.75	3	2.57	3.6	3.83	3.33
93	89.206.79.39	2015-12-10 05:25:40	2015-12-10 05:47:20	2.85	1.8	3.25	2.8	3.57	3.9	3.58	3.50
96	213.55.184.249	2015-12-10 06:47:23	2015-12-10 07:10:42	2.54	3.6	3.17	3	3.29	3.8	3.33	3.50
97	62.167.128.108	2015-12-10 07:00:12	2015-12-10 07:10:46	2.08	1.6	2.58	2.6	2.57	4.2	2.08	3.25
98	178.83.85.1	2015-12-10 07:23:44	2015-12-10 07:36:23	2.92	3.6	2.92	3.4	2.57	4.2	2.42	3.42
99	217.194.52.22	2015-12-10 07:36:53	2015-12-10 07:52:58	2.54	2.8	2.92	3.2	2.71	4.7	2.83	3.42
100	77.56.43.196	2015-12-10 07:52:51	2015-12-10 08:03:35	2.77	1.8	3.00	3	3.00	3.6	3.83	3.08
101	77.57.97.38	2015-12-10 07:55:23	2015-12-10 08:02:08	3.69	4.2	3.00	3	3.00	3.6	3.08	3.33
104	212.51.146.177	2015-12-10 08:36:56	2015-12-10 08:49:08	2.54	4.4	2.92	3	2.86	3.9	3.33	2.67
105	31.10.150.215	2015-12-10 08:53:03	2015-12-10 09:07:44	2.38	1.8	2.67	3.4	2.14	3.8	3.08	3.83
106	85.6.204.159	2015-12-10 09:13:35	2015-12-10 09:41:41	2.38	3.2	2.83	3.8	2.14	3.5	4.33	3.00
107	89.217.175.216	2015-12-10 09:54:27	2015-12-10 10:06:55	2.54	2.8	2.42	2.8	2.14	4.1	3.25	3.08
108	83.77.69.238	2015-12-10 10:26:27	2015-12-10 11:27:06	1.85	1.2	2.92	2.8	3.00	3.7	2.33	2.58
109	178.199.250.71	2015-12-10 10:29:55	2015-12-10 10:38:59	3.85	4.2	2.25	2.4	2.14	3.9	4.25	4.75
110	84.72.65.13	2015-12-10 10:56:00	2015-12-10 11:03:39	2.00	1.4	2.58	2.2	2.86	4.5	2.33	3.58
111	92.104.76.51	2015-12-10 11:36:01	2015-12-10 11:42:37	2.15	2.8	3.67	3.6	3.71	3	2.08	2.75
112	178.82.51.252	2015-12-10 13:46:38	2015-12-10 13:57:50	2.54	1	2.17	2.6	1.86	3.7	1.17	3.33
113	213.55.184.172	2015-12-10 13:49:43	2015-12-10 13:58:40	2.31	2.2	2.75	2.4	3.00	3.9	2.25	3.50
115	89.206.85.181	2015-12-11 00:32:52	2015-12-11 01:04:31	3.00	2.8	2.75	2.4	3.00	3.7	4.33	3.42
116	89.206.95.221	2015-12-11 01:02:09	2015-12-11 01:13:13	2.38	3.4	2.50	2.4	2.57	3.9	2.83	2.58
117	89.206.92.230	2015-12-11 01:54:00	2015-12-11 02:08:02	3.46	3.8	2.83	3	2.71	3.8	3.00	2.92
120	92.106.38.52	2015-12-11 02:56:20	2015-12-11 03:07:16	2.00	2	2.92	3	2.86	4.1	2.25	3.25
121	89.206.87.244	2015-12-11 04:00:31	2015-12-11 04:16:33	2.00	2.2	2.67	2.6	2.71	4.6	2.75	1.83
122	89.206.69.37	2015-12-11 04:08:00	2015-12-11 04:17:56	2.69	2.2	2.33	2.4	2.29	4	2.50	3.67
123	89.206.79.255	2015-12-11 04:59:51	2015-12-12 02:55:23	2.08	2.4	2.58	2.8	2.43	4.7	3.92	3.92
126	92.104.136.4	2015-12-11 06:45:51	2015-12-11 06:58:04	3.38	3.2	2.83	3	2.71	3.9	2.58	2.33
127	82.192.236.164	2015-12-11 08:19:15	2015-12-11 08:26:09	2.69	3.6	2.75	3.2	2.43	4.2	3.58	3.42
128	10.250.1.132	2015-12-11 09:09:15	2015-12-11 09:16:21	3.31	4.6	2.75	2.8	2.71	3.6	3.00	3.08
129	85.4.222.96	2015-12-11 10:00:31	2015-12-11 10:08:06	2.69	1.8	2.67	2.6	2.71	3.9	3.67	3.58
130	89.206.113.166	2015-12-12 01:00:15	2015-12-12 01:10:15	3.00	3.4	2.92	2.2	3.43	4.3	3.92	4.17
131	83.79.170.225	2015-12-12 01:00:58	2015-12-12 01:11:39	2.92	2.6	2.67	2.8	2.57	3.9	2.67	2.50
132	89.206.68.171	2015-12-12 01:48:51	2015-12-12 02:01:52	2.08	2	3.00	3.4	2.71	3.8	2.67	3.42
134	178.193.202.158	2015-12-13 03:06:39	2015-12-13 03:23:44	3.31	3.2	3.08	3.4	2.86	4.3	4.25	3.33
135	62.202.190.57	2015-12-13 03:08:11	2015-12-13 03:17:56	2.77	2.2	2.58	2.6	2.57	3.9	2.75	3.67
138	46.140.117.182	2015-12-13 08:04:58	2015-12-13 09:02:14	2.92	3.6	3.50	3	3.86	3.8	4.08	2.58
139	188.154.11.94	2015-12-13 17:12:41	2015-12-13 17:28:14	4.08	4.8	2.67	3	2.43	3.6	3.83	4.08
140	80.219.210.230	2015-12-14 09:20:59	2015-12-14 09:35:37	2.31	2.2	2.67	3	2.43	4.1	3.83	3.00
141	89.206.73.241	2015-12-15 03:58:41	2015-12-15 04:13:38	4.15	4.2	3.25	3.8	2.86	3.9	4.33	3.50
142	82.197.170.234	2015-12-15 04:56:42	2015-12-15 05:04:51	2.15	1.8	2.50	2.2	2.71	4.4	2.67	3.75
143	217.162.187.3	2015-12-15 08:21:31	2015-12-15 08:29:00	2.54	2	2.75	2.8	2.71	4.4	2.50	3.42
145	178.194.222.170	2015-12-15 11:28:24	2015-12-15 11:40:59	1.92	2	2.75	3	2.57	3.4	2.25	2.92
146	85.2.165.173	2015-12-15 12:13:22	2015-12-15 12:22:05	2.85	2	2.50	2.8	2.29	3.8	3.08	3.83
147	89.206.106.141	2015-12-16 07:13:57	2015-12-16 08:16:04	2.62	3	2.42	2.2	2.57	3.1	3.33	3.83
148	92.105.193.64	2015-12-16 13:03:35	2015-12-16 13:17:41	2.00	1.6	2.67	3	2.43	4.6	2.00	1.58
149	31.10.157.110	2015-12-16 13:23:16	2015-12-16 13:35:23	1.92	2.4	2.50	2.4	2.57	3.4	2.17	3.33
150	77.56.167.61	2015-12-16 21:39:17	2015-12-16 21:44:54	2.92	3.2	3.25	3.6	3.00	3.5	2.67	3.17
151	178.197.233.170	2015-12-17 08:51:50	2015-12-17 09:06:12	3.62	3	2.83	3.2	2.57	3.9	3.92	4.50
152	178.82.137.88	2015-12-18 15:48:48	2015-12-18 16:05:09	2.62	1.6	2.75	3.2	2.43	3.7	2.92	3.50
153	213.55.184.243	2015-12-20 13:48:39	2015-12-20 14:02:09	1.38	1.6	2.42	2.4	2.43	3.9	2.58	2.67
156	84.154.131.191	2016-01-07 05:35:16	2016-01-07 05:45:03	2.92	2.8	2.67	2.8	2.57	3.3	3.75	2.83
158	83.76.74.68	2016-01-10 13:40:57	2016-01-10 13:51:42	2.54	2	2.25	3.2	1.57	4	2.33	3.50
159	85.3.207.62	2016-01-12 09:22:26	2016-01-12 09:30:57	2.46	1.8	2.58	3	2.29	4.3	2.92	3.67
160	77.59.186.70	2016-01-12 12:18:08	2016-01-12 12:29:39	2.46	2.2	2.42	2.4	2.43	3.9	2.75	3.42
161	188.60.108.238	2016-01-17 12:01:10	2016-01-17 13:04:14	2.31	1.8	2.75	2.6	2.86	3.3	3.92	3.83
164	178.197.233.8	2016-01-21 12:24:46	2016-01-21 12:35:21	2.69	3	2.83	3.4	2.43	3.3	2.25	2.83
165	82.136.97.135	2016-01-25 02:30:44	2016-01-25 02:40:30	2.85	4.8	2.75	3.2	2.43	3.2	3.17	2.83
166	178.195.122.35	2016-01-25 12:00:51	2016-01-25 12:10:33	2.77	2.4	2.25	2.6	2.00	4.5	3.58	4.00
